matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2012,250,Crusaders,31,Stormers,24,Chris Pollock,8,10
2012,251,Brumbies,37,Rebels,6,Craig Joubert,12,13
2012,252,Cheetahs,33,Chiefs,39,Jonathan Kaplan,7,15
2012,253,Lions,18,Bulls,32,Garratt Williamson,9,11
2012,254,Highlanders,30,Blues,27,Bryce Lawrence,12,9
2012,255,Reds,13,Stormers,23,Steve Walsh,10,11
2012,256,Hurricanes,14,Crusaders,42,Craig Joubert,11,12
2012,257,NSW Waratahs,30,Rebels,21,Jonathan Kaplan,13,13
2012,258,Sharks,12,Chiefs,18,Garratt Williamson,7,13
2012,259,Bulls,36,Brumbies,34,Marius Jonker,6,11
2012,260,Blues,11,Reds,23,Craig Joubert,11,11
2012,261,Lions,20,Brumbies,34,Keith Brown,8,10
2012,262,Chiefs,33,Hurricanes,14,Jonathon White,11,10
2012,263,Force,3,Stormers,17,Jaco Peyper,9,10
2012,264,Cheetahs,33,Highlanders,36,Marius Jonker,11,12
2012,265,NSW Waratahs,33,Crusaders,37,Jonathan Kaplan,4,10
2012,266,Hurricanes,35,Blues,19,Jaco Peyper,8,4
2012,267,Rebels,35,Bulls,41,Andrew Lees,5,9
2012,268,Chiefs,34,Lions,21,Ian Smith,15,7
2012,269,Brumbies,23,NSW Waratahs,6,Chris Pollock,13,12
2012,270,Sharks,28,Highlanders,16,Steve Walsh,11,10
2012,271,Cheetahs,17,Force,13,Stuart Berry,8,18
2012,272,Crusaders,15,Reds,11,Bryce Lawrence,7,18
2012,273,Blues,25,Lions,3,Angus Gardner,10,11
2012,274,NSW Waratahs,24,Bulls,27,Chris Pollock,10,10
2012,275,Highlanders,20,Hurricanes,26,Glen Jackson,7,9
2012,276,Rebels,28,Crusaders,19,Jaco Peyper,7,8
2012,277,Sharks,53,Force,11,Mark Lawrence,12,17
2012,278,Stormers,16,Cheetahs,14,Steve Walsh,11,10
2012,279,Reds,42,Chiefs,27,Marius Jonker,6,8
2012,280,Hurricanes,25,Brumbies,37,Mark Lawrence,8,8
2012,281,Highlanders,16,Bulls,11,Ian Smith,9,15
2012,282,Crusaders,59,Blues,12,Bryce Lawrence,8,7
2012,283,Reds,34,Lions,20,Keith Brown,9,10
2012,284,Cheetahs,20,Sharks,34,Jonathan Kaplan,8,13
2012,285,Stormers,19,NSW Waratahs,13,Craig Joubert,8,14
2012,286,Force,31,Rebels,32,Marius Jonker,8,9
2012,287,Chiefs,28,Bulls,22,Mark Lawrence,7,9
2012,288,Hurricanes,66,Rebels,24,Jonathon White,7,8
2012,289,Blues,20,Highlanders,27,Glen Jackson,5,16
2012,290,Brumbies,12,Reds,13,Steve Walsh,8,13
2012,291,Force,17,Lions,11,Garratt Williamson,6,13
2012,292,Cheetahs,35,NSW Waratahs,34,Craig Joubert,10,8
2012,293,Sharks,25,Stormers,20,Jaco Peyper,10,6
2012,294,Crusaders,51,Highlanders,18,Steve Walsh,10,14
2012,295,Rebels,19,Brumbies,27,Keith Brown,11,10
2012,296,Blues,34,Chiefs,41,Chris Pollock,9,15
2012,297,Waratahs,12,Hurricanes,33,Bryce Lawrence,6,9
2012,298,Lions,38,Sharks,28,Garratt Williamson,13,8
2012,299,Bulls,14,Stormers,19,Jonathan Kaplan,12,11
2012,300,Highlanders,21,Chiefs,27,Garratt Williamson,12,13
